Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,bf,tw,tf,bf/2tf,h/tw,kdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1
W,W24X84,W24X84,F,84,24.7,24.1,9.02,0.47,0.77,5.86,45.9,1.27,2370,224,196,9.79,94.4,32.6,20.9,1.95,3.7,12800,52.6,91.3
W,W24X76,W24X76,F,76,22.4,23.9,8.99,0.44,0.68,6.61,49,1.18,2100,200,176,9.69,82.5,28.6,18.4,1.92,2.68,11100,52.2,79.8
W,W24X68,W24X68,F,68,20.1,23.7,8.97,0.415,0.585,7.66,52,1.09,1830,177,154,9.55,70.4,24.5,15.7,1.87,1.87,9430,51.8,68
W,W24X62,W24X62,F,62,18.2,23.7,7.04,0.43,0.59,5.97,50.1,1.09,1550,153,131,9.23,34.5,15.7,9.8,1.38,1.71,4620,40.7,42.2
W,W24X55,W24X55,F,55,16.2,23.6,7.01,0.395,0.505,6.94,54.6,1.01,1350,134,114,9.11,29.1,13.3,8.3,1.34,1.18,3870,40.5,35.8
W,W21X275,W21X275,T,275,81.8,24.1,12.9,1.22,2.19,2.95,14.2,3.37,7690,749,638,9.7,787,191,122,3.1,107,94400,70.7,499
W,W21X248,W21X248,F,248,73.8,23.7,12.8,1.1,1.99,3.22,15.8,3.17,6830,671,576,9.62,699,170,109,3.08,80.7,82400,69.5,442
W,W21X223,W21X223,F,223,66.5,23.4,12.7,1,1.79,3.55,17.5,2.97,6080,601,520,9.56,614,150,96.7,3.04,59.5,71700,68.6,390
W,W21X201,W21X201,F,201,59.3,23,12.6,0.91,1.63,3.86,20.6,2.13,5310,530,461,9.47,542,133,86.1,3.02,40.9,62000,67.3,346
W,W21X182,W21X182,F,182,53.6,22.7,12.5,0.83,1.48,4.22,22.6,1.98,4730,476,417,9.4,483,119,77.2,3,30.7,54400,66.3,307
W,W21X166,W21X166,F,166,48.8,22.5,12.4,0.75,1.36,4.57,25,1.86,4280,432,380,9.36,435,108,70,2.99,23.6,48500,65.5,276
W,W21X147,W21X147,F,147,43.2,22.1,12.5,0.72,1.15,5.44,26.1,1.65,3630,373,329,9.17,376,92.6,60.1,2.95,15.4,41100,65.5,235
W,W21X132,W21X132,F,132,38.8,21.8,12.4,0.65,1.04,6.01,28.9,1.54,3220,333,295,9.12,333,82.3,53.5,2.93,11.3,36000,64.4,206
W,W21X122,W21X122,F,122,35.9,21.7,12.4,0.6,0.96,6.45,31.3,1.46,2960,307,273,9.09,305,75.6,49.2,2.92,8.98,32700,64.3,191
W,W21X111,W21X111,F,111,32.6,21.5,12.3,0.55,0.875,7.05,34.1,1.38,2670,279,249,9.05,274,68.2,44.5,2.9,6.83,29200,63.4,171
W,W21X101,W21X101,F,101,29.8,21.4,12.3,0.5,0.8,7.68,37.5,1.3,2420,253,227,9.02,248,61.7,40.3,2.89,5.21,26200,63.3,156
W,W21X93,W21X93,F,93,27.3,21.6,8.42,0.58,0.93,4.53,32.3,1.43,2070,221,192,8.7,92.9,34.7,22.1,1.84,6.03,9940,43.5,85.2
W,W21X83,W21X83,F,83,24.4,21.4,8.36,0.515,0.835,5,36.4,1.34,1830,196,171,8.67,81.4,30.5,19.5,1.83,4.34,8630,43,75
W,W21X73,W21X73,F,73,21.5,21.2,8.3,0.455,0.74,5.6,41.2,1.24,1600,172,151,8.64,70.6,26.6,17,1.81,3.02,7410,42.5,65.2
W,W21X68,W21X68,F,68,20,21.1,8.27,0.43,0.685,6.04,43.6,1.19,1480,160,140,8.6,64.7,24.4,15.7,1.8,2.45,6760,42.2,59.8
W,W21X62,W21X62,F,62,18.3,21,8.24,0.4,0.615,6.7,46.9,1.12,1330,144,127,8.54,57.5,21.7,14,1.77,1.83,5960,42,53.2
W,W21X55,W21X55,F,55,16.2,20.8,8.22,0.375,0.522,7.87,50,1.02,1140,126,110,8.4,48.4,18.4,11.8,1.73,1.24,4980,41.7,44.7
W,W21X48,W21X48,F,48,14.1,20.6,8.14,0.35,0.43,9.47,53.6,0.93,959,107,93,8.24,38.7,14.9,9.52,1.66,0.803,3950,41,35.9
W,W21X57,W21X57,F,57,16.7,21.1,6.56,0.405,0.65,5.04,46.3,1.15,1170,129,111,8.36,30.6,14.8,9.35,1.35,1.77,3190,33.5,35.8
W,W21X50,W21X50,F,50,14.7,20.8,6.53,0.38,0.535,6.1,49.4,1.04,984,110,94.5,8.18,24.9,12.2,7.64,1.3,1.14,2570,33.1,28.9
W,W21X44,W21X44,F,44,13,20.7,6.5,0.35,0.45,7.22,53.6,0.95,843,95.4,81.6,8.06,20.7,10.2,6.37,1.26,0.77,2110,32.9,24.1
W,W18X311,W18X311,T,311,91.6,22.3,12,1.52,2.74,2.19,10.4,3.24,6970,754,624,8.72,795,207,132,2.95,176,76200,58.7,482
W,W18X283,W18X283,T,283,83.3,21.9,11.9,1.4,2.5,2.38,11.3,3,6170,676,565,8.61,704,185,118,2.91,134,65900,57.7,429
W,W18X258,W18X258,T,258,76,21.5,11.8,1.28,2.3,2.56,12.5,2.7,5510,611,514,8.53,628,166,107,2.88,103,57600,56.6,384
W,W18X234,W18X234,T,234,68.6,21.1,11.7,1.16,2.11,2.76,13.8,2.51,4900,549,466,8.44,558,149,95.8,2.85,78.7,50100,55.5,343
W,W18X211,W18X211,F,211,62.3,20.7,11.6,1.06,1.91,3.02,15.1,2.31,4330,490,419,8.35,493,132,85.3,2.82,58.6,43400,54.5,302
W,W18X192,W18X192,F,192,56.2,20.4,11.5,0.96,1.75,3.27,16.7,2.15,3870,442,380,8.28,440,119,76.8,2.79,44.7,38000,53.6,270
W,W18X175,W18X175,F,175,51.4,20,11.4,0.89,1.59,3.58,18,1.99,3450,398,344,8.2,391,106,68.8,2.76,33.8,33300,52.5,238
W,W18X158,W18X158,F,158,46.3,19.7,11.3,0.81,1.44,3.92,19.8,1.84,3060,356,310,8.12,347,94.8,61.4,2.74,25.2,29000,51.6,210
W,W18X143,W18X143,F,143,42,19.5,11.2,0.73,1.32,4.25,22,1.72,2750,322,282,8.09,311,85.4,55.5,2.72,19.2,25700,50.9,188
W,W18X130,W18X130,F,130,38.3,19.3,11.2,0.67,1.2,4.65,23.9,1.6,2460,290,256,8.03,278,76.7,49.9,2.7,14.5,22700,50.7,170
W,W18X119,W18X119,F,119,35.1,19,11.3,0.655,1.06,5.31,24.5,1.46,2190,262,231,7.9,253,69.1,44.9,2.69,10.6,20300,50.7,152
W,W18X106,W18X106,F,106,31.1,18.7,11.2,0.59,0.94,5.96,27.2,1.34,1910,230,204,7.84,220,60.5,39.4,2.66,7.48,17400,49.7,131
W,W18X97,W18X97,F,97,28.5,18.6,11.1,0.535,0.87,6.41,30,1.27,1750,211,188,7.82,201,55.3,36.1,2.65,5.86,15800,49.2,119
W,W18X86,W18X86,F,86,25.3,18.4,11.1,0.48,0.77,7.2,33.4,1.17,1530,186,166,7.77,175,48.4,31.6,2.63,4.1,13600,48.9,105
W,W18X76,W18X76,F,76,22.3,18.2,11,0.425,0.68,8.11,37.8,1.08,1330,163,146,7.73,152,42.2,27.6,2.61,2.83,11700,48.2,90.1
W,W18X71,W18X71,F,71,20.9,18.5,7.64,0.495,0.81,4.71,32.4,1.21,1170,146,127,7.5,60.3,24.7,15.8,1.7,3.49,4700,33.8,52.3
W,W18X65,W18X65,F,65,19.1,18.4,7.59,0.45,0.75,5.06,35.7,1.15,1070,133,117,7.49,54.8,22.5,14.4,1.69,2.73,4240,33.5,47.7
W,W18X60,W18X60,F,60,17.6,18.2,7.56,0.415,0.695,5.44,38.7,1.1,984,123,108,7.47,50.1,20.6,13.3,1.68,2.17,3850,33.1,43.5
W,W18X55,W18X55,F,55,16.2,18.1,7.53,0.39,0.63,5.98,41.1,1.03,890,112,98.3,7.41,44.9,18.5,11.9,1.67,1.66,3430,32.9,39
W,W18X50,W18X50,F,50,14.7,18,7.5,0.355,0.57,6.57,45.2,0.972,800,101,88.9,7.38,40.1,16.6,10.7,1.65,1.24,3040,32.7,34.9
W,W18X46,W18X46,F,46,13.5,18.1,6.06,0.36,0.605,5.01,44.6,1.01,712,90.7,78.8,7.25,22.5,11.7,7.43,1.29,1.22,1720,26.5,24.3
